Amundrud, Gail   (CAN)
Amundsen, Arthur   (NOR)
Amundsen, Steinar   (NOR)
Amunike, Emmanuel   (NGR)
Amyot, Francis   (CAN)
An , Dae-Hyun   (KOR)
An , Han-Bong   (KOR)
An , Sang-Me   (KOR)
An , Young-Su   (KOR)
An , Yulong   (CHN)
An , Zhongxin   (CHN)
Anakin, Douglas   (CAN)
Ananiev, Borislav   (BUL)
Ananko, Tatyana   (BLR)
Anashkin, Yevgeniy   (RUS)
Anastasia, Flavio   (ITA)
Anastasowski, Svetlana   (YUG)
Ancic, Mario   (CRO)
Ancion, Julius   (NED)
Anczok, Zygmunt   (POL)
Anderberg, Olle   (SWE)
Anderhub, Steve   (SUI)
Anders, Beth   (USA)
Andersen, Aage   (DEN)
Andersen, Alf   (NOR)
Andersen, Anders   (DEN)
Andersen, Anja Jul   (DEN)
Andersen, Axel   (DEN)
Andersen, Camilla   (DEN)
Andersen, Carl   (DEN)
Andersen, Carl   (DEN)
Andersen, Carl-Ebbe   (DEN)
Andersen, Flisa   (NOR)
Andersen, Frithjof   (NOR)
Andersen, Greta   (DEN)
Andersen, Hjallis   (NOR)
Andersen, Hjalmart   (DEN)
Andersen, Johan   (DEN)
Andersen, Jørgen   (NOR)
Andersen, Kjerstin   (NOR)
Andersen, Kristine   (DEN)
Andersen, Linda   (NOR)
Andersen, Niels   (DEN)
Andersen, Ove   (FIN)
Andersen, Paul   (DEN)
Andersen, Peter   (DEN)
Andersen, Peter   (DEN)
Andersen, Reidar   (NOR)
Andersen, Terje   (NOR)
Andersen, Viggo   (DEN)
Anderson, Brett   (USA)
Anderson, Charles   (USA)
Anderson, Craig   (AUS)
Anderson, David   (AUS)
Anderson, Gary   (NZL)
Anderson, Gary   (USA)
Anderson, John   (USA)
Anderson, Miller   (USA)
Anderson, Paul   (GBR)
Anderson, Paul   (USA)
Anderson, Scott   (AUS)
Anderson, Stephen   (USA)
Anderson, Thomas   (AUS)
Anderson, Ty   (USA)
Anderson, W   (FRA)
Anderson, Wendell   (USA)
Anderson, William   (CAN)
Anderson, William   (GBR)
Anderson, William   (USA)
Andersson, Agneta   (SWE)
Andersson, Åke   (SWE)
Andersson, Albert   (SWE)
Andersson, Anders   (SWE)
Andersson, Anders   (SWE)
Andersson, Anna   (SWE)
Andersson, Arvid   (SWE)
Andersson, Bjarne   (SWE)
Andersson, Erik   (SWE)
Andersson, Frank   (SWE)
Andersson, Gösta   (SWE)
Andersson, Gunilla   (SWE)
Andersson, Hans   (SWE)
Andersson, Hjalmar   (SWE)
Andersson, Leif   (SWE)
Andersson, Lina   (SWE)
Andersson, Magnus   (SWE)
Andersson, Mattias   (SWE)
Andersson, Mauritz   (SWE)
Andersson, Mikael   (SWE)
Andersson, Peter   (SWE)
Andersson, Ramon   (AUS)
Andersson, Robert   (SWE)
Andersson, Robert   (SWE)
Andersson, Sigurd   (SWE)
Andersson, Stig   (SWE)
Andersson, Sture   (SWE)
Andersson, Sune   (SWE)
Andersson, Thure   (SWE)
Andersson, Vilhelm   (SWE)
Andersson, Volger   (SWE)
Andersson-Holtman, Arvid   (SWE)
Andersson , Cecilia   (SWE)
Anding, Carola   (GDR)
Andiyev, Soslan   (URS)
Ando, Kenkichi   (JPN)
Ando, Misako   (JPN)
Ando, Yuya   (JPN)
Andrada, Manuel   (ARG)
Andrade,    (BRA)
Andrade, José   (URU)
André, Bill   (USA)
André, Géo   (FRA)
Andreas Jakobsson, Sverre   (ICE)
Andreasen, Larry   (USA)
Andreassen, Gunn Margit   (NOR)
Andreassen, Rolf   (NOR)
Andrei, Alessandro   (ITA)
Andrei, Vasile   (ROM)
Andreia,    (BRA)
Andreo, Angel   (ESP)
Andreoli, Arnaldo   (ITA)
Andreoli, Severino   (ITA)
Andreossi, Giannin   (SUI)
Andreossi, Mezzi   (SUI)
Andreou, Ioannis   (GRE)
Andres, Dominic   (SUI)
Andresen, Cyril   (DEN)
Andresen, Frode   (NOR)
Andrew, Janice   (AUS)
Andrews, A. F.   (USA)
Andrews, Michelle   (AUS)
Andrews, Theresa   (USA)
Andrews, Walter   (CAN)
Andreyev, Boris   (URS)
Andreyev, Sergey   (URS)
Andreyev, Vladimir   (RUS)
Andreyev, Vladimir   (URS)
Andreyuk, Yelena   (URS)
Andriakopoulos, Nicolaos   (GRE)
Andrianov, Nikolay   (URS)
Andriasyan, Arkady   (URS)
Andric, Dragan   (YUG)
Andrieux, Michel   (FRA)
Andriev, Gheorghe   (ROM)
Andrs, Vladimír   (CZE)
Andrunache, Georgeta   (ROM)
Andrysek, Franz Joseph   (AUT)
Andryushina, Ekaterina   (RUS)
Andrzejewski, Bohdan   (POL)
Andrzejuk, Robert   (POL)
Andstén, Curt   (FIN)
Andstén, Jarl   (FIN)
Anesi, Matteo   (ITA)
Anganuzzi, Raúl   (ARG)
Angelica, Maria   (BRA)
Angelini, Alberto   (ITA)
