Kamensk-Ural'skiy	Russia	182,500
Prato	Italy	181,820
Saarbruecken	Germany	181,227
Groningen	Netherlands	181,194
Taranto	Italy	181,082
Crawley	United Kingdom	180,508
Castello de la Plana	Spain	180,005
Yasenevo	Russia	180,000
Podolsk	Russia	179,400
Burgos	Spain	178,966
Amadora	Portugal	178,858
Ipswich	United Kingdom	178,835
Bielsko-Biala	Poland	176,515
Yuzhno-Sakhalinsk	Russia	176,484
Almere Stad	Netherlands	176,432
Split	Croatia	176,314
Saint-Etienne	France	176,280
Turku	Finland	175,945
Wigan	United Kingdom	175,405
Kramators'k	Ukraine	173,700
Croydon	United Kingdom	173,314
Miskolc	Hungary	172,637
Walsall	United Kingdom	172,141
Herne	Germany	172,108
Lyublino	Russia	172,000
Mansfield	United Kingdom	171,958
Olsztyn	Poland	171,803
Bacau	Romania	171,396
Oxford	United Kingdom	171,380
Muelheim	Germany	171,000
Albacete	Spain	169,716
Reggio Calabria	Italy	169,140
Arad	Romania	169,065
Baranovichi	Belarus	168,772
Toulon	France	168,701
Angers	France	168,279
Horta-Guinardo	Spain	168,092
Patra	Greece	168,034
Alcorcon	Spain	167,967
Berezniki	Russia	167,748
Volgodonsk	Russia	167,731
Breda	Netherlands	167,673
Pitesti	Romania	167,669
Miass	Russia	167,500
Abakan	Russia	167,289
Neukoelln	Germany	167,248
Getafe	Spain	167,164
Novocherkassk	Russia	166,974
Osnabrueck	Germany	166,462
Nou Barris	Spain	166,310
Warrington	United Kingdom	165,456
Szeged	Hungary	164,883
Basel	Switzerland	164,488
Zenica	Bosnia And Herzegovina	164,423
Solingen	Germany	164,359
Pilsen	Czech Republic	164,180
Nazran'	Russia	164,131
Slough	United Kingdom	163,777
Piraeus	Greece	163,688
Bournemouth	United Kingdom	163,600
Peterborough	United Kingdom	163,379
Ludwigshafen am Rhein	Germany	163,196
Floridsdorf	Austria	162,779
Leverkusen	Germany	162,738
Hortaleza	Spain	161,661
Rubtsovsk	Russia	161,065
Mytishchi	Russia	160,542
Salavat	Russia	159,893
