Year,Name,,Voted By,Inducted As,Votes,% of Ballots
1980,Duke Snider\snidedu01,1926-2011,BBWAA,Player,333.0,86.5%
1980,Tom Yawkey\yawketo99,1903-1976,Veterans,Pioneer/Executive,,
1979,Warren Giles\gileswa99,1896-1979,Veterans,Pioneer/Executive,,
1979,Willie Mays\mayswi01,1931-Living,BBWAA,Player,409.0,94.7%
1979,Hack Wilson\wilsoha01,1900-1948,Veterans,Player,,
1978,Addie Joss\jossad01,1880-1911,Veterans,Player,,
1978,Larry MacPhail\macphla99,1890-1975,Veterans,Pioneer/Executive,,
1978,Eddie Mathews\matheed01,1931-2001,BBWAA,Player,301.0,79.4%
1977,Ernie Banks\bankser01,1931-2015,BBWAA,Player,321.0,83.8%
1977,Martin Dihigo\dihigma99,1905-1971,Negro League,Player,,
1977,Pop Lloyd\lloydjo99,1884-1964,Negro League,Player,,
1977,Al Lopez\lopezal01,1908-2005,Veterans,Manager,,
1977,Amos Rusie\rusieam01,1871-1942,Veterans,Player,,
1977,Joe Sewell\seweljo01,1898-1990,Veterans,Player,,
1976,Oscar Charleston\charlos99,1896-1954,Negro League,Player,,
1976,Roger Connor\connoro01,1857-1931,Veterans,Player,,
1976,Cal Hubbard\hubbaca99,1900-1977,Veterans,Umpire,,
1976,Bob Lemon\lemonbo01,1920-2000,BBWAA,Player,305.0,78.6%
1976,Freddie Lindstrom\lindsfr01,1905-1981,Veterans,Player,,
1976,Robin Roberts\roberro01,1926-2010,BBWAA,Player,337.0,86.9%
1975,Earl Averill\averiea01,1902-1983,Veterans,Player,,
1975,Bucky Harris\harribu01,1896-1977,Veterans,Manager,,
1975,Billy Herman\hermabi01,1909-1992,Veterans,Player,,
1975,Judy Johnson\johnsju99,1899-1989,Negro League,Player,,
1975,Ralph Kiner\kinerra01,1922-2014,BBWAA,Player,273.0,75.4%
1974,Cool Papa Bell\bellco99,1903-1991,Negro League,Player,,
1974,Jim Bottomley\bottoji01,1900-1959,Veterans,Player,,
1974,Jocko Conlan\conlajo01,1899-1989,Veterans,Umpire,,
1974,Whitey Ford\fordwh01,1928-Living,BBWAA,Player,284.0,77.8%
1974,Mickey Mantle\mantlmi01,1931-1995,BBWAA,Player,322.0,88.2%
1974,Sam Thompson\thompsa01,1860-1922,Veterans,Player,,
1973,Roberto Clemente\clemero01,1934-1972,Special Election,Player,,
1973,Billy Evans\evansbi99,1884-1956,Veterans,Umpire,,
1973,Monte Irvin\irvinmo01,1919-2016,Negro League,Player,,
1973,High Pockets Kelly\kellyge01,1895-1984,Veterans,Player,,
1973,Warren Spahn\spahnwa01,1921-2003,BBWAA,Player,316.0,83.2%
1973,Mickey Welch\welchmi01,1859-1941,Veterans,Player,,
1972,Yogi Berra\berrayo01,1925-2015,BBWAA,Player,339.0,85.6%
1972,Josh Gibson\gibsojo99,1911-1947,Negro League,Player,,
1972,Lefty Gomez\gomezle01,1908-1989,Veterans,Player,,
1972,Will Harridge\harriwi99,1881-1971,Veterans,Pioneer/Executive,,
1972,Sandy Koufax\koufasa01,1935-Living,BBWAA,Player,344.0,86.9%
1972,Buck Leonard\leonabu99,1907-1997,Negro League,Player,,
1972,Early Wynn\wynnea01,1920-1999,BBWAA,Player,301.0,76.0%
1972,Ross Youngs\youngro01,1897-1927,Veterans,Player,,
1971,Dave Bancroft\bancrda01,1891-1972,Veterans,Player,,
1971,Jake Beckley\becklja01,1867-1918,Veterans,Player,,
1971,Chick Hafey\hafeych01,1903-1973,Veterans,Player,,
1971,Harry Hooper\hoopeha01,1887-1974,Veterans,Player,,
1971,Joe Kelley\kellejo01,1871-1943,Veterans,Player,,
1971,Rube Marquard\marquru01,1886-1980,Veterans,Player,,
1971,Satchel Paige\paigesa01,1906-1982,Negro League,Player,,
1971,George Weiss\weissge99,1894-1972,Veterans,Pioneer/Executive,,
1970,Lou Boudreau\boudrlo01,1917-2001,BBWAA,Player,232.0,77.3%
1970,Earle Combs\combsea01,1899-1976,Veterans,Player,,
1970,Ford Frick\frickfo99,1894-1978,Veterans,Pioneer/Executive,,
1970,Jesse Haines\haineje01,1893-1978,Veterans,Player,,
1969,Roy Campanella\camparo01,1921-1993,BBWAA,Player,270.0,79.4%
1969,Stan Coveleski\covelst01,1889-1984,Veterans,Player,,
1969,Waite Hoyt\hoytwa01,1899-1984,Veterans,Player,,
1969,Stan Musial\musiast01,1920-2013,BBWAA,Player,317.0,93.2%
1968,Kiki Cuyler\cuyleki01,1898-1950,Veterans,Player,,
1968,Goose Goslin\gosligo01,1900-1971,Veterans,Player,,
1968,Joe Medwick\medwijo01,1911-1975,BBWAA,Player,240.0,84.8%
1967,Branch Rickey\rickebr01,1881-1965,Veterans,Pioneer/Executive,,
1967,Red Ruffing\ruffire01,1905-1986,Run Off,Player,266.0,86.9%
1967,Lloyd Waner\wanerll01,1906-1982,Veterans,Player,,
1966,Casey Stengel\stengca01,1890-1975,Veterans,Manager,,
1966,Ted Williams\willite01,1918-2002,BBWAA,Player,282.0,93.4%
1965,Pud Galvin\galvipu01,1856-1902,Veterans,Player,,
1964,Luke Appling\applilu01,1907-1991,Run Off,Player,189.0,94.0%
1964,Red Faber\faberre01,1888-1976,Veterans,Player,,
1964,Burleigh Grimes\grimebu01,1893-1985,Veterans,Player,,
1964,Miller Huggins\huggimi01,1878-1929,Veterans,Manager,,
1964,Tim Keefe\keefeti01,1857-1933,Veterans,Player,,
1964,Heinie Manush\manushe01,1901-1971,Veterans,Player,,
1964,John Ward\wardjo01,1860-1925,Veterans,Player,,
1963,John Clarkson\clarkjo01,1861-1909,Veterans,Player,,
1963,Elmer Flick\flickel01,1876-1971,Veterans,Player,,
1963,Sam Rice\ricesa01,1890-1974,Veterans,Player,,
1963,Eppa Rixey\rixeyep01,1891-1963,Veterans,Player,,
1962,Bob Feller\fellebo01,1918-2010,BBWAA,Player,150.0,93.8%
1962,Bill McKechnie\mckecbi01,1886-1965,Veterans,Manager,,
1962,Jackie Robinson\robinja02,1919-1972,BBWAA,Player,124.0,77.5%
1962,Edd Roush\roushed01,1893-1988,Veterans,Player,,
1961,Max Carey\careyma01,1890-1976,Veterans,Player,,
1961,Billy Hamilton\hamilbi01,1866-1940,Veterans,Player,,
1959,Zack Wheat\wheatza01,1888-1972,Veterans,Player,,
1957,Sam Crawford\crawfsa01,1880-1968,Veterans,Player,,
1957,Joe McCarthy\mccarjo99,1887-1978,Veterans,Manager,,
1956,Joe Cronin\cronijo01,1906-1984,BBWAA,Player,152.0,78.8%
1956,Hank Greenberg\greenha01,1911-1986,BBWAA,Player,164.0,85.0%
1955,Home Run Baker\bakerfr01,1886-1963,Veterans,Player,,
1955,Joe DiMaggio\dimagjo01,1914-1999,BBWAA,Player,223.0,88.8%
1955,Gabby Hartnett\hartnga01,1900-1972,BBWAA,Player,195.0,77.7%
1955,Ted Lyons\lyonste01,1900-1986,BBWAA,Player,217.0,86.5%
1955,Ray Schalk\schalra01,1892-1970,Veterans,Player,,
1955,Dazzy Vance\vanceda01,1891-1961,BBWAA,Player,205.0,81.7%
1954,Bill Dickey\dickebi01,1907-1993,BBWAA,Player,202.0,80.2%
1954,Rabbit Maranville\maranra01,1891-1954,BBWAA,Player,209.0,82.9%
1954,Bill Terry\terrybi01,1898-1989,BBWAA,Player,195.0,77.4%
1953,Ed Barrow\barroed99,1868-1953,Veterans,Pioneer/Executive,,
1953,Chief Bender\bendech01,1884-1954,Veterans,Player,,
1953,Tommy Connolly\connoto99,1870-1961,Veterans,Umpire,,
1953,Dizzy Dean\deandi01,1910-1974,BBWAA,Player,209.0,79.2%
1953,Bill Klem\klembi99,1874-1951,Veterans,Umpire,,
1953,Al Simmons\simmoal01,1902-1956,BBWAA,Player,199.0,75.4%
1953,Bobby Wallace\wallabo01,1873-1960,Veterans,Player,,
1953,Harry Wright\wrighha01,1835-1895,Veterans,Pioneer/Executive,,
1952,Harry Heilmann\heilmha01,1894-1951,BBWAA,Player,203.0,86.8%
1952,Paul Waner\wanerpa01,1903-1965,BBWAA,Player,195.0,83.3%
1951,Jimmie Foxx\foxxji01,1907-1967,BBWAA,Player,179.0,79.2%
1951,Mel Ott\ottme01,1909-1958,BBWAA,Player,197.0,87.2%
1949,Mordecai Brown\brownmo01,1876-1948,Old Timers,Player,,
1949,Charlie Gehringer\gehrich01,1903-1993,Run Off,Player,159.0,85.0%
1949,Kid Nichols\nichoki01,1869-1953,Old Timers,Player,,
1948,Herb Pennock\pennohe01,1894-1948,BBWAA,Player,94.0,77.7%
1948,Pie Traynor\traynpi01,1898-1972,BBWAA,Player,93.0,76.9%
1947,Mickey Cochrane\cochrmi01,1903-1962,BBWAA,Player,128.0,79.5%
1947,Frankie Frisch\friscfr01,1897-1973,BBWAA,Player,136.0,84.5%
1947,Lefty Grove\grovele01,1900-1975,BBWAA,Player,123.0,76.4%
1947,Carl Hubbell\hubbeca01,1903-1988,BBWAA,Player,140.0,87.0%
1946,Jesse Burkett\burkeje01,1868-1953,Old Timers,Player,,
1946,Frank Chance\chancfr01,1876-1924,Old Timers,Player,,
1946,Jack Chesbro\chesbja01,1874-1931,Old Timers,Player,,
1946,Johnny Evers\eversjo01,1881-1947,Old Timers,Player,,
1946,Clark Griffith\griffcl01,1869-1955,Old Timers,Pioneer/Executive,,
1946,Tommy McCarthy\mccarto01,1863-1922,Old Timers,Player,,
1946,Joe McGinnity\mcginjo01,1871-1929,Old Timers,Player,,
1946,Eddie Plank\planked01,1875-1926,Old Timers,Player,,
1946,Joe Tinker\tinkejo01,1880-1948,Old Timers,Player,,
1946,Rube Waddell\wadderu01,1876-1914,Old Timers,Player,,
1946,Ed Walsh\walshed01,1881-1959,Old Timers,Player,,
1945,Roger Bresnahan\bresnro01,1879-1944,Old Timers,Player,,
1945,Dan Brouthers\broutda01,1858-1932,Old Timers,Player,,
